Timestamp,Computer,Fav_Color,Sleep_Hrs,Fav_Sport,Age_in_months,Outdoor_Time,Hair_Color,Ideal_Temp,Phone_Time,Age_Diff_Parents,Music_Genre,Num_States,Fav_Season,Bfast_Amount,Summer
2024/07/15 10:28:26 AM AST,Mac,red,8,ice hockey,276,2,black,75,2.25,-2,Pop,19,Fall,0,good
2024/07/15 10:28:27 AM AST,Mac,Blue,7,Football,281,2,Brown,68,6,0,Country,31,Spring,3,Good
2024/07/15 10:28:27 AM AST,Mac,Red,6.5,Basketball/soccer,279,1,Midnight ,69,6.5 hours ,3 years ,Anything but country,21,Spring,0,Code
2024/07/15 10:28:28 AM AST,PC,cyan ,8,Football ,264,2,Black,75,2.5,4,Pop,19,Winter,1.25,Busy 
2024/07/15 10:28:36 AM AST,PC,Teal,6,American Football,324,1,Brown,68,4,4 years,New wave pop,25,Spring,$5 ,Rough
2024/07/15 10:28:44 AM AST,PC,Blue,7,Rugby,258,5,Blonde,70,2.1,6,Jazz,34,Winter,7,Fantastic
2024/07/15 10:29:07 AM AST,PC,Olive green,7.5,Football,22,2,Brown,74,5,3 years,Hip-hop,28,Fall,8,Well
2024/07/15 10:29:07 AM AST,Mac,Seafoam Green,7,Basketball,289,2,Blond,65,7,4,Jazz Fusion,17,Winter,$0 ,Productive
2024/07/15 10:29:09 AM AST,Mac,Black ,7,,396,2,Black,70,3,7,Metal,7,Fall,0,Good
2024/07/15 10:29:11 AM AST,Mac,Blue,7,Soccer,276,7,Brown,75,2.5,7 years,Melodic Rap,28,Summer,0,Sweaty
2024/07/15 10:29:15 AM AST,PC,Red,7,Basketball,265,1,Blonde,74,2,4,Indie,17,Spring,0,Great
2024/07/15 10:29:21 AM AST,Mac,Blue,6,Basketball,271,1,Blonde,65,3,4,Pop,13,Fall,$10 ,Hot
2024/07/15 10:29:29 AM AST,Mac,Pastel Pink,7,Basketball,271,1,Black,70,4 hours 15 min,3 years,K rnb ,7,Fall,5,splendid
2024/07/15 10:29:33 AM AST,PC,Purple,4 hours,NFL ,259,1,Black,68,8,8 years,Hip Hop,5,Winter,$5 ,Hectic
2024/07/15 10:29:38 AM AST,Mac,Blue,7,Cricket ,309,4,Black,80,3,4,Indian pop,5,Fall,3 dollars,Busy
2024/07/15 10:29:43 AM AST,PC,Blue ,8,Football,276,2,Brown,65,4,0,Classic rock,12,Spring,8,Fast
2024/07/15 10:29:49 AM AST,Mac,Forest Green,8-Jun,American Football,265,At least 1-2,Brown,75,3,3,Grunge,28,Summer,$6 ,Dope
2024/07/15 10:29:58 AM AST,PC,purple,7,Formula 1,262,1,brown,60,6,1,house,26,Fall,$0 ,fabulous
2024/07/15 10:30:11 AM AST,PC,Blue,7,Soccer,265,5,Brown,75,2 hrs,5,Rap,30,Summer,$2 ,Busy
2024/07/15 10:30:15 AM AST,PC,Green,7,Basketball,330,1,Brown,65,2.5,4,Folk,17,Spring,2,Well
2024/07/15 10:31:11 AM AST,PC,Blue,$7 ,Soccer,264,2,Black,72,4,-5 month,Most music ,9,Spring,0,Busy
2024/07/15 10:31:47 AM AST,PC,Purple,8,Basketball,250,2,Black,75,2,6,Classical,21,Summer,$5 ,Fun!
